game,bet_type,prob,dec,ev_per_$,kelly_frac,stake_$,stake_reflected,profit
ATL@TB,home_ml,0.5240674596008144,1.3597122302158273,-0.28741906572263376,0.0,0.0,0.0,-0.0
ATL@TB,away_ml,0.47593254039918564,3.25,0.5467807562973532,0.24301366946549033,6.08,6.08,13.68
ATL@TB,home_spread,0.7387843880201744,1.925925925925926,0.4228440065573731,0.4566715270819629,6.85,6.85,-6.85
ATL@TB,away_spread,0.26121561197982557,1.8928571428571428,-0.5055561630381873,0.0,0.0,0.0,-0.0
ATL@TB,over,0.6442148283214323,1.9090909090909092,0.22986467225000717,0.25285113947500787,1.26,1.26,0.0
ATL@TB,under,0.3557851716785677,1.9090909090909092,-0.32077376315909795,0.0,0.0,0.0,0.0
CLE@CHI,home_ml,0.7524254662922999,1.2666666666666666,-0.046927742696420166,0.0,0.0,0.0,0.0
CLE@CHI,away_ml,0.2475745337077001,3.95,-0.022080591854584553,0.0,0.0,0.0,-0.0
CLE@CHI,home_spread,0.8781300175209319,1.925925925925926,0.6912133670773504,0.7465104364435383,11.2,11.2,10.37
CLE@CHI,away_spread,0.1218699824790681,1.8928571428571428,-0.7693175331646211,0.0,0.0,0.0,-0.0
CLE@CHI,over,0.8164337896518331,1.9523809523809523,0.5939897797964361,0.623689268786258,3.12,3.12,0.0
CLE@CHI,under,0.1835662103481669,1.8695652173913042,-0.6568109980447314,0.0,0.0,0.0,0.0
BAL@CIN,home_ml,0.33992731557440126,2.3600000000000003,-0.19777153524441293,0.0,0.0,0.0,-0.0
BAL@CIN,away_ml,0.6600726844255987,1.617283950617284,0.06752495876238812,0.10939043319506875,2.73,2.73,1.69
BAL@CIN,home_spread,0.5409091468890119,2.05,0.10886375112247437,0.10367976297378513,1.56,1.56,-1.56
BAL@CIN,away_spread,0.4590908531109881,1.8,-0.17363646440022146,0.0,0.0,0.0,0.0
BAL@CIN,over,0.2432971958088197,1.9090909090909092,-0.5355235352740715,0.0,0.0,0.0,0.0
BAL@CIN,under,0.7567028041911803,1.9090909090909092,0.44461444436498065,0.4890758888014787,2.45,2.45,0.0
ARI@HOU,home_ml,0.6849303098059475,1.16,-0.20548084062510097,0.0,0.0,0.0,0.0
ARI@HOU,away_ml,0.3150696901940525,5.55,0.7486367805769915,0.16453555617076737,4.11,4.11,-4.11
ARI@HOU,home_spread,0.7539999814996263,1.9090909090909092,0.4394545101356503,0.4833999611492153,7.25,7.25,6.59
ARI@HOU,away_spread,0.24600001850037367,1.9090909090909092,-0.5303636010447411,0.0,0.0,0.0,-0.0
ARI@HOU,over,0.752282332291353,1.925925925925926,0.4488400473759392,0.48474725116601425,2.42,2.42,0.0
ARI@HOU,under,0.247717667708647,1.8928571428571428,-0.5311058432657754,0.0,0.0,0.0,0.0
NYJ@JAX,home_ml,0.6971071196479975,1.0952380952380953,-0.23650172609981213,0.0,0.0,0.0,0.0
NYJ@JAX,away_ml,0.30289288035200246,7.75,1.347419822728019,0.19961775151526207,4.99,4.99,-4.99
NYJ@JAX,home_spread,0.8502912798954638,1.8695652173913042,0.5896750015436931,0.6781262517752472,10.17,10.17,8.84
NYJ@JAX,away_spread,0.14970872010453617,1.9523809523809523,-0.7077115464625723,0.0,0.0,0.0,-0.0
NYJ@JAX,over,0.7070964761714992,1.9523809523809523,0.3805216915729269,0.3995477761515733,2.0,2.0,0.0
NYJ@JAX,under,0.2929035238285008,1.8695652173913042,-0.4523977597988898,0.0,0.0,0.0,0.0
LAC@KC,home_ml,0.6300891961226651,1.3875968992248062,-0.12569018522513908,0.0,0.0,0.0,-0.0
LAC@KC,away_ml,0.3699108038773349,3.1,0.1467234920197381,0.06986832953320862,1.75,1.75,3.68
LAC@KC,home_spread,0.7910868095867853,1.8333333333333335,0.4503258175757733,0.5403909810909279,8.11,8.11,-8.11
LAC@KC,away_spread,0.20891319041321466,2.0,-0.5821736191735707,0.0,0.0,0.0,-0.0
LAC@KC,over,0.833337379362362,1.8928571428571428,0.5773886109358993,0.6466752442482073,3.23,3.23,0.0
LAC@KC,under,0.16666262063763804,1.925925925925926,-0.6790201380312156,0.0,0.0,0.0,0.0
BUF@NE,home_ml,0.6419718523740069,2.2,0.4123380752228153,0.3436150626856794,8.59,8.59,-8.59
BUF@NE,away_ml,0.3580281476259931,1.704225352112676,-0.38983935404584275,0.0,0.0,0.0,0.0
BUF@NE,home_spread,0.46364897621314727,1.9090909090909092,-0.11485195450217334,0.0,0.0,0.0,-0.0
BUF@NE,away_spread,0.5363510237868527,1.9090909090909092,0.02394286359308251,0.026337149952390757,0.4,0.4,0.36
BUF@NE,over,0.6588962191777865,1.8695652173913042,0.23184945324542683,0.2666268712322409,1.33,1.33,0.0
BUF@NE,under,0.3411037808222135,1.9523809523809523,-0.3340354755375832,0.0,0.0,0.0,0.0
WAS@NYG,home_ml,0.45488397253847207,1.6756756756756757,-0.23776199196256026,0.0,0.0,0.0,-0.0
WAS@NYG,away_ml,0.5451160274615279,2.24,0.2210599015138226,0.17827411412405045,4.46,4.46,5.53
WAS@NYG,home_spread,0.630215191912576,1.8695652173913042,0.17822840227133774,0.20496266261203844,3.07,3.07,-3.07
WAS@NYG,away_spread,0.369784808087424,1.9523809523809523,-0.27803918421026746,0.0,0.0,0.0,0.0
WAS@NYG,over,0.39451369861250674,1.9523809523809523,-0.2297589693755821,0.0,0.0,0.0,0.0
WAS@NYG,under,0.6054863013874933,1.8695652173913042,0.13199612868096555,0.1517955479831104,0.76,0.76,0.0
LV@PHI,home_ml,0.7273925469871887,1.1,-0.19986819831409236,0.0,0.0,0.0,0.0
