game,bet_type,prob,dec,ev_per_$,kelly_frac,stake_$,stake_reflected,profit
ATL@TB,away_ml,0.4759325403991856,3.25,0.5467807562973532,0.2430136694654903,6.08,6.08,13.68
BAL@CIN,away_ml,0.6600726844255987,1.617283950617284,0.0675249587623881,0.1093904331950687,2.73,2.73,1.69
ARI@HOU,away_ml,0.3150696901940525,5.55,0.7486367805769915,0.1645355561707673,4.11,4.11,-4.11
NYJ@JAX,away_ml,0.3028928803520024,7.75,1.347419822728019,0.199617751515262,4.99,4.99,-4.99
LAC@KC,away_ml,0.3699108038773349,3.1,0.1467234920197381,0.0698683295332086,1.75,1.75,3.68
BUF@NE,home_ml,0.6419718523740069,2.2,0.4123380752228153,0.3436150626856794,8.59,8.59,-8.59
WAS@NYG,away_ml,0.5451160274615279,2.24,0.2210599015138226,0.1782741141240504,4.46,4.46,5.53
LV@PHI,away_ml,0.2726074530128113,7.5,1.0445558975960847,0.1607009073224745,4.02,4.02,-4.02
GB@DEN,home_ml,0.6283181130352583,2.02,0.2692025883312218,0.2639241062070802,6.6,6.6,6.73
CAR@NO,away_ml,0.6383616911335175,1.6756756756756757,0.0696871581156238,0.1031369940111233,2.58,2.58,-2.58
IND@SEA,away_ml,0.342033825224047,7.5,1.5652536891803526,0.2408082598739004,6.02,6.02,-6.02
TEN@SF,away_ml,0.2867558129953207,7.0,1.007290690967245,0.1678817818278741,4.2,4.2,-4.2
MIN@DAL,away_ml,0.4329903867340565,3.15,0.3639197182122781,0.169264985215013,4.23,4.23,9.09
MIA@PIT,away_ml,0.4405458391144377,2.42,0.0661209306569391,0.0465640356739008,1.16,1.16,-1.16
